forum_treated,forum_control,year_treated,year_control,accept_treated,accept_control,decision_raw_treated,decision_raw_control,decision_parse_success_treated,decision_parse_success_control,title_treated,title_control,abstract_treated,abstract_control,keywords_raw_treated,keywords_raw_control,keyword_document_treated,keyword_document_control,keyword_count_treated,keyword_count_control,title_length_treated,title_length_control,abstract_length_treated,abstract_length_control,topic_cluster_treated,topic_cluster_control,link_treated,link_control,num_reviews_treated,num_reviews_control,mean_score_treated,mean_score_control,score_std_treated,score_std_control,rating_parse_success_share_treated,rating_parse_success_share_control,confidence_mean_treated,confidence_mean_control,confidence_parse_success_share_treated,confidence_parse_success_share_control,mean_sentiment_treated,mean_sentiment_control,mean_politeness_treated,mean_politeness_control,mean_toxicity_treated,mean_toxicity_control,mean_constructiveness_treated,mean_constructiveness_control,review_length_mean_treated,review_length_mean_control,confidence_missing_treated,confidence_missing_control,confidence_mean_imputed_treated,confidence_mean_imputed_control,mean_score_percentile_treated,mean_score_percentile_control,year_topic_cluster_treated,year_topic_cluster_control,parse_status_treated,parse_status_control,mean_sentiment_z_treated,mean_sentiment_z_control,within_year_sentiment_median_treated,within_year_sentiment_median_control,high_sentiment_treated,high_sentiment_control,borderline_window_treated,borderline_window_control,propensity_score_treated,propensity_score_control,propensity_logit_treated,propensity_logit_control,distance,year
rkgpCoRctm,r1gGpjActQ,2019,2019,0,0,Reject,Reject,1,1,Detecting Out-Of-Distribution Samples Using Low-Order Deep Features Statistics,Hint-based Training for Non-Autoregressive Translation,"The ability to detect when an input sample was not drawn from the training distribution is an important desirable property of deep neural networks. In this paper, we show that a simple ensembling of first and second order deep feature statistics can be exploited to effectively differentiate in-distribution and out-of-distribution samples. Specifically, we observe that the mean and standard deviation within feature maps differs greatly between in-distribution and out-of-distribution samples. Based on this observation, we propose a simple and efficient plug-and-play detection procedure that does not require re-training, pre-processing or changes to the model. The proposed method outperforms the state-of-the-art by a large margin in all standard benchmarking tasks, while being much simpler to implement and execute. Notably, our method improves the true negative rate from 39.6% to 95.3% when 95% of in-distribution (CIFAR-100) are correctly detected using a DenseNet and the out-of-distribution dataset is TinyImageNet resize. The source code of our method will be made publicly available.","Machine translation is an important real-world application, and neural network-based AutoRegressive Translation (ART) models have achieved very promising accuracy. Due to the unparallelizable nature of the autoregressive factorization, ART models have to generate tokens one by one during decoding and thus suffer from high inference latency. Recently, Non-AutoRegressive Translation (NART) models were proposed to reduce the inference time. However, they could only achieve inferior accuracy compared with ART models. To improve the accuracy of NART models, in this paper, we propose to leverage the hints from a well-trained ART model to train the NART model. We define two hints for the machine translation task: hints from hidden states and hints from word alignments, and use such hints to regularize the optimization of NART models. Experimental results show that the NART model trained with hints could achieve significantly better translation performance than previous NART models on several tasks. In particular, for the WMT14 En-De and De-En task, we obtain BLEU scores of 25.20 and 29.52 respectively, which largely outperforms the previous non-autoregressive baselines. It is even comparable to a strong LSTM-based ART model (24.60 on WMT14 En-De), but one order of magnitude faster in inference.","['computer vision', 'out-of-distribution detection', 'image classification']","['Natural Language Processing', 'Machine Translation', 'Non-Autoregressive Model']",computer vision ; out of distribution detection ; image classification,natural language processing ; machine translation ; non autoregressive model,3,3,11,7,171,200,4,10,https://openreview.net/forum?id=rkgpCoRctm,https://openreview.net/forum?id=r1gGpjActQ,3,3,5.666666666666667,5.333333333333333,1.1547005383792517,1.1547005383792517,1.0,1.0,4.0,3.6666666666666665,1.0,1.0,0.9489333333333332,0.8170666666666667,0.5326958888411403,0.2976190476190476,0.0,0.0,0.6258057584873228,1.071592315545076,408.0,403.3333333333333,0,0,4.0,3.6666666666666665,0.538,0.441,2019_4,2019_10,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7209634247646005,0.3530638677185903,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.4955325309984907,0.5021278679332359,-0.017870351564784642,0.008511523118073473,0.026381874682858117,2019
HJeKCi0qYX,rkxhX209FX,2019,2019,0,0,Reject,Reject,1,1,MILE: A Multi-Level Framework for Scalable Graph Embedding,An Active Learning Framework for Efficient Robust Policy Search,"Recently there has been a surge of interest in designing graph embedding methods. Few, if any, can scale to a large-sized graph with millions of nodes due to both computational complexity and memory requirements. In this paper, we relax this limitation by introducing the MultI-Level Embedding (MILE) framework – a generic methodology allowing contemporary graph embedding methods to scale to large graphs. MILE repeatedly coarsens the graph into smaller ones using a hybrid matching technique to maintain the backbone structure of the graph. It then applies existing embedding methods on the coarsest graph and refines the embeddings to the original graph through a novel graph convolution neural network that it learns. The proposed MILE framework is agnostic to the underlying graph embedding techniques and can be applied to many existing graph embedding methods without modifying them. We employ our framework on several popular graph embedding techniques and conduct embedding for real-world graphs. Experimental results on five large-scale datasets demonstrate that MILE significantly boosts the speed (order of magnitude) of graph embedding while also often generating embeddings of better quality for the task of node classification. MILE can comfortably scale to a graph with 9 million nodes and 40 million edges, on which existing methods run out of memory or take too long to compute on a modern workstation.","Robust Policy Search is the problem of learning policies that do not degrade in performance when subject to unseen environment model parameters. It is particularly relevant for transferring policies learned in a simulation environment to the real world. Several existing approaches involve sampling large batches of trajectories which reflect the differences in various possible environments, and then selecting some subset of these to learn robust policies, such as the ones that result in the worst performance. We propose an active learning based framework, EffAcTS, to selectively choose model parameters for this purpose so as to collect only as much data as necessary to select such a subset. We apply this framework to an existing method, namely EPOpt, and experimentally validate the gains in sample efficiency and the performance of our approach on standard continuous control tasks. We also present a Multi-Task Learning perspective to the problem of Robust Policy Search, and draw connections from our proposed framework to existing work on Multi-Task Learning.","['Network Embedding', 'Graph Convolutional Networks', 'Deep Learning']",['Deep Reinforcement Learning'],network embedding ; graph convolutional networks ; deep learning,deep reinforcement learning,3,1,9,9,219,165,7,1,https://openreview.net/forum?id=HJeKCi0qYX,https://openreview.net/forum?id=rkxhX209FX,3,3,5.666666666666667,5.333333333333333,1.5275252316519463,0.5773502691896257,1.0,1.0,4.0,3.333333333333333,1.0,1.0,0.9711666666666666,0.7688,0.600765958948836,0.0879507475813544,0.0,0.0,1.0124609746042477,1.5888836910558803,334.6666666666667,315.3333333333333,0,0,4.0,3.333333333333333,0.538,0.441,2019_7,2019_1,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7829930012432887,0.21840295806170865,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.4976375360900141,0.5080854143505238,-0.00944992596338152,0.03234447691260558,0.0417944028759871,2019
HklyMhCqYQ,HyM8V2A9Km,2019,2019,0,0,Reject,Reject,1,1,Super-Resolution via Conditional Implicit Maximum Likelihood Estimation,ACTRCE: Augmenting Experience via Teacher’s Advice,"Single-image super-resolution (SISR) is a canonical problem with diverse applications. Leading methods like SRGAN produce images that contain various artifacts, such as high-frequency noise, hallucinated colours and shape distortions, which adversely affect the realism of the result. In this paper, we propose an alternative approach based on an extension of the method of Implicit Maximum Likelihood Estimation (IMLE). We demonstrate greater effectiveness at noise reduction and preservation of the original colours and shapes, yielding more realistic super-resolved images.","Sparse reward is one of the most challenging problems in reinforcement learning (RL). Hindsight Experience Replay (HER) attempts to address this issue by converting a failure experience to a successful one by relabeling the goals. Despite its effectiveness, HER has limited applicability because it lacks a compact and universal goal representation. We present Augmenting experienCe via TeacheR's adviCE (ACTRCE), an efficient reinforcement learning technique that extends the HER framework using natural language as the goal representation. We first analyze the differences among goal representation, and show that ACTRCE can efficiently solve difficult reinforcement learning problems in challenging 3D navigation tasks, whereas HER with non-language goal representation failed to learn. We also show that with language goal representations, the agent can generalize to unseen instructions, and even generalize to instructions with unseen lexicons. We further demonstrate it is crucial to use hindsight advice to solve challenging tasks, but we also found that little amount of hindsight advice is sufficient for the learning to take off, showing the practical aspect of the method.",['super-resolution'],"['language goals', 'task generalization', 'hindsight experience replays', 'language grounding']",super resolution,language goals ; task generalization ; hindsight experience replays ; language grounding,1,4,8,7,82,172,4,4,https://openreview.net/forum?id=HklyMhCqYQ,https://openreview.net/forum?id=HyM8V2A9Km,3,3,5.666666666666667,5.666666666666667,0.5773502691896257,1.1547005383792517,1.0,1.0,4.333333333333333,4.333333333333333,1.0,1.0,0.9669333333333334,0.8083666666666667,0.5617163372159851,0.6142632003403254,0.0,0.0,1.0641294868856397,1.3887828109370612,372.3333333333333,395.0,0,0,4.333333333333333,4.333333333333333,0.538,0.538,2019_4,2019_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7711822722885764,0.32879142474866885,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.5011710700150965,0.5086030603131566,0.004684288625807557,0.03441563777738035,0.029731349151572797,2019
rJlcV2Actm,H1e0-30qKm,2019,2019,0,0,Reject,Reject,1,1,MahiNet: A Neural Network for Many-Class Few-Shot Learning with Class Hierarchy,Unlabeled Disentangling of GANs with Guided Siamese Networks,"We study many-class few-shot (MCFS) problem in both supervised learning and meta-learning scenarios. Compared to the well-studied many-class many-shot and few-class few-shot problems, MCFS problem commonly occurs in practical applications but is rarely studied. MCFS brings new challenges because it needs to distinguish between many classes, but only a few samples per class are available for training. In this paper, we propose ``memory-augmented hierarchical-classification network (MahiNet)'' for MCFS learning. It addresses the ``many-class'' problem by exploring the class hierarchy, e.g., the coarse-class label that covers a subset of fine classes, which helps to narrow down the candidates for the fine class and is cheaper to obtain. MahiNet uses a convolutional neural network (CNN) to extract features, and integrates a memory-augmented attention module with a multi-layer perceptron (MLP) to produce the probabilities over coarse and fine classes. While the MLP extends the linear classifier, the attention module extends a KNN classifier, both together targeting the ''`few-shot'' problem. We design different training strategies of MahiNet for supervised learning and meta-learning. Moreover, we propose two novel benchmark datasets ''mcfsImageNet'' (as a subset of ImageNet) and ''mcfsOmniglot'' (re-splitted Omniglot) specifically for MCFS problem. In experiments, we show that MahiNet outperforms several state-of-the-art models on MCFS classification tasks in both supervised learning and meta-learning scenarios.","Disentangling underlying generative factors of a data distribution is important for interpretability and generalizable representations. In this paper, we introduce two novel disentangling methods. Our first method, Unlabeled Disentangling GAN (UD-GAN, unsupervised), decomposes the latent noise by generating similar/dissimilar image pairs and it learns a distance metric on these pairs with siamese networks and a contrastive loss. This pairwise approach provides consistent representations for similar data points. Our second method (UD-GAN-G, weakly supervised) modifies the UD-GAN with user-defined guidance functions, which restrict the information that goes into the siamese networks. This constraint helps UD-GAN-G to focus on the desired semantic variations in the data. We show that both our methods outperform existing unsupervised approaches in quantitative metrics that measure semantic accuracy of the learned representations. In addition, we illustrate that simple guidance functions we use in UD-GAN-G allow us to directly capture the desired variations in the data.","['deep learning', 'many-class few-shot', 'class hierarchy', 'meta learning']","['GAN', 'disentange', 'siamese networks', 'semantic']",deep learning ; many class few shot ; class hierarchy ; meta learning,gan ; disentange ; siamese networks ; semantic,4,4,13,8,234,158,7,4,https://openreview.net/forum?id=rJlcV2Actm,https://openreview.net/forum?id=H1e0-30qKm,3,4,5.333333333333333,5.5,0.5773502691896257,0.5773502691896257,1.0,1.0,3.0,3.75,1.0,1.0,0.9111333333333334,-0.0902999999999999,0.5477616461979445,-0.0742743692333022,0.0,0.0,1.2069943215803252,1.170036950310844,322.3333333333333,382.0,0,0,3.0,3.75,0.441,0.4935,2019_7,2019_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.6155038449642531,-2.1784310368186848,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.501873282769757,0.5122768847357824,0.0074931661390674215,0.04911741128987914,0.04162424515081172,2019
SyehMhC9Y7,H1xaJn05FQ,2019,2019,0,1,Reject,Accept (Poster),1,1,"Deep Imitative Models for Flexible Inference, Planning, and Control",Sliced Wasserstein Auto-Encoders,"Imitation learning provides an appealing framework for autonomous control: in many tasks, demonstrations of preferred behavior can be readily obtained from human experts, removing the need for costly and potentially dangerous online data collection in the real world. However, policies learned with imitation learning have limited flexibility to accommodate varied goals at test time. Model-based reinforcement learning (MBRL) offers considerably more flexibility, since a predictive model learned from data can be used to achieve various goals at test time. However, MBRL suffers from two shortcomings. First, the model does not help to choose desired or safe outcomes -- its dynamics estimate only what is possible, not what is preferred. Second, MBRL typically requires additional online data collection to ensure that the model is accurate in those situations that are actually encountered when attempting to achieve test time goals. Collecting this data with a partially trained model can be dangerous and time-consuming. In this paper, we aim to combine the benefits of imitation learning and MBRL, and propose imitative models: probabilistic predictive models able to plan expert-like trajectories to achieve arbitrary goals. We find this method substantially outperforms both direct imitation and MBRL in a simulated autonomous driving task, and can be learned efficiently from a fixed set of expert demonstrations without additional online data collection. We also show our model can flexibly incorporate user-supplied costs at test-time, can plan to sequences of goals, and can even perform well with imprecise goals, including goals on the wrong side of the road.","In this paper we use the geometric properties of the optimal transport (OT) problem and the Wasserstein distances to define a prior distribution for the latent space of an auto-encoder. We introduce Sliced-Wasserstein Auto-Encoders (SWAE), that enable one to shape the distribution of the latent space into any samplable probability distribution without the need for training an adversarial network or having a likelihood function specified. In short, we regularize the auto-encoder loss with the sliced-Wasserstein distance between the distribution of the encoded training samples and a samplable prior distribution. We show that the proposed formulation has an efficient numerical solution that provides similar capabilities to Wasserstein Auto-Encoders (WAE) and Variational Auto-Encoders (VAE), while benefiting from an embarrassingly simple implementation. We provide extensive error analysis for our algorithm, and show its merits on three benchmark datasets.","['imitation learning', 'forecasting', 'computer vision']","['optimal transport', 'Wasserstein distances', 'auto-encoders', 'unsupervised learning']",imitation learning ; forecasting ; computer vision,optimal transport ; wasserstein distances ; auto encoders ; unsupervised learning,3,4,9,4,254,142,4,4,https://openreview.net/forum?id=SyehMhC9Y7,https://openreview.net/forum?id=H1xaJn05FQ,3,3,5.666666666666667,5.333333333333333,0.5773502691896257,1.1547005383792517,1.0,1.0,3.0,4.0,1.0,1.0,0.9780333333333332,0.8005,0.5547177465583689,0.4832648812070392,0.0,0.0,1.0840814945256918,0.1654259718775848,434.3333333333333,403.6666666666667,0,0,3.0,4.0,0.538,0.441,2019_4,2019_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8021505615950271,0.30684392842337593,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.502660165341657,0.5132711497712197,0.010640761766231412,0.053097070278084135,0.042456308511852725,2019
H1zeHnA9KX,HkekMnR5Ym,2019,2019,1,0,Accept (Poster),Reject,1,1,Representing Formal Languages: A Comparison Between Finite Automata and Recurrent Neural Networks,Meta-Learning Neural Bloom Filters,"We investigate the internal representations that a recurrent neural network (RNN) uses while learning to recognize a regular formal language. Specifically, we train a RNN on positive and negative examples from a regular language, and ask if there is a simple decoding function that maps states of this RNN to states of the minimal deterministic finite automaton (MDFA) for the language. Our experiments show that such a decoding function indeed exists, and that it maps states of the RNN not to MDFA states, but to states of an {\\em abstraction} obtained by clustering small sets of MDFA states into ``''superstates''. A qualitative analysis reveals that the abstraction often has a simple interpretation. Overall, the results suggest a strong structural relationship between internal representations used by RNNs and finite automata, and explain the well-known ability of RNNs to recognize formal grammatical structure.","There has been a recent trend in training neural networks to replace data structures that have been crafted by hand, with an aim for faster execution, better accuracy, or greater compression. In this setting, a neural data structure is instantiated by training a network over many epochs of its inputs until convergence. In many applications this expensive initialization is not practical, for example streaming algorithms --- where inputs are ephemeral and can only be inspected a small number of times. In this paper we explore the learning of approximate set membership over a stream of data in one-shot via meta-learning. We propose a novel memory architecture, the Neural Bloom Filter, which we show to be more compressive than Bloom Filters and several existing memory-augmented neural networks in scenarios of skewed data or structured sets.","['Language recognition', 'Recurrent Neural Networks', 'Representation Learning', 'deterministic finite automaton', 'automaton']","['meta-learning', 'memory', 'one-shot learning', 'bloom filter', 'set membership', 'familiarity', 'compression']",language recognition ; recurrent neural networks ; representation learning ; deterministic finite automaton ; automaton,meta learning ; memory ; one shot learning ; bloom filter ; set membership ; familiarity ; compression,5,7,12,5,142,136,12,4,https://openreview.net/forum?id=H1zeHnA9KX,https://openreview.net/forum?id=HkekMnR5Ym,3,3,5.666666666666667,5.333333333333333,1.1547005383792517,2.081665999466133,1.0,1.0,3.0,2.6666666666666665,1.0,1.0,0.8830666666666667,0.7850333333333332,0.6741824597829695,0.3482451924751179,0.0,0.0,0.3979560844804553,1.0614513466641593,422.6666666666667,439.3333333333333,0,0,3.0,2.6666666666666665,0.538,0.441,2019_12,2019_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.5371996419731658,0.26369291869907113,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.5052239631978839,0.5139827052797084,0.020896613165958203,0.05594540846178475,0.03504879529582655,2019
B1epooR5FX,SyNPk2R9K7,2019,2019,0,1,Reject,Accept (Poster),1,1,Predicted Variables in Programming,Learning to Describe Scenes with Programs,"We present Predicted Variables, an approach to making machine learning (ML) a first class citizen in programming languages. There is a growing divide in approaches to building systems: using human experts (e.g. programming) on the one hand, and using behavior learned from data (e.g. ML) on the other hand. PVars aim to make using ML in programming easier by hybridizing the two. We leverage the existing concept of variables and create a new type, a predicted variable. PVars are akin to native variables with one important distinction: PVars determine their value using ML when evaluated. We describe PVars and their interface, how they can be used in programming, and demonstrate the feasibility of our approach on three algorithmic problems: binary search, QuickSort, and caches. We show experimentally that PVars are able to improve over the commonly used heuristics and lead to a better performance than the original algorithms. As opposed to previous work applying ML to algorithmic problems, PVars have the advantage that they can be used within the existing frameworks and do not require the existing domain knowledge to be replaced. PVars allow for a seamless integration of ML into existing systems and algorithms. Our PVars implementation currently relies on standard Reinforcement Learning (RL) methods. To learn faster, PVars use the heuristic function, which they are replacing, as an initial function. We show that PVars quickly pick up the behavior of the initial function and then improve performance beyond that without ever performing substantially worse -- allowing for a safe deployment in critical applications.","Human scene perception goes beyond recognizing a collection of objects and their pairwise relations. We understand higher-level, abstract regularities within the scene such as symmetry and repetition. Current vision recognition modules and scene representations fall short in this dimension. In this paper, we present scene programs, representing a scene via a symbolic program for its objects, attributes, and their relations. We also propose a model that infers such scene programs by exploiting a hierarchical, object-based scene representation. Experiments demonstrate that our model works well on synthetic data and transfers to real images with such compositional structure. The use of scene programs has enabled a number of applications, such as complex visual analogy-making and scene extrapolation.","['predicted variables', 'machine learning', 'programming', 'computing systems', 'reinforcement learning']","['Structured scene representations', 'program synthesis']",predicted variables ; machine learning ; programming ; computing systems ; reinforcement learning,structured scene representations ; program synthesis,5,2,4,6,256,118,1,4,https://openreview.net/forum?id=B1epooR5FX,https://openreview.net/forum?id=SyNPk2R9K7,3,3,5.666666666666667,5.333333333333333,1.1547005383792517,1.1547005383792517,1.0,1.0,3.0,3.333333333333333,1.0,1.0,0.8871333333333333,0.7073333333333333,0.8211160667611074,0.0302023557837511,0.0,0.0,1.1203177437163008,0.8750822109181384,310.6666666666667,452.3333333333333,0,0,3.0,3.333333333333333,0.538,0.441,2019_1,2019_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.5485453815989528,0.04691489355391158,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.5102692279221849,0.5226268519750595,0.04108268895049184,0.0905692672317938,0.049486578281301964,2019
H1xpe2C5Km,BkeK-nRcFX,2019,2019,0,0,Reject,Reject,1,1,Trace-back along capsules and its application on semantic segmentation,The Nonlinearity Coefficient - Predicting Generalization in Deep Neural Networks,"In this paper, we propose a capsule-based neural network model to solve the semantic segmentation problem. By taking advantage of the extractable part-whole dependencies available in capsule layers, we derive the probabilities of the class labels for individual capsules through a recursive, layer-by-layer procedure. We model this procedure as a traceback pipeline and take it as a central piece to build an end-to-end segmentation network. Under the proposed framework, image-level class labels and object boundaries are jointly sought in an explicit manner, which poses a significant advantage over the state-of-the-art fully convolutional network (FCN) solutions. Experiments conducted on modified MNIST and neuroimages demonstrate that our model considerably enhance the segmentation performance compared to the leading FCN variant.","For a long time, designing neural architectures that exhibit high performance was considered a dark art that required expert hand-tuning. One of the few well-known guidelines for architecture design is the avoidance of exploding or vanishing gradients. However, even this guideline has remained relatively vague and circumstantial, because there exists no well-defined, gradient-based metric that can be computed {\\it before} training begins and can robustly predict the performance of the network {\\it after} training is complete. We introduce what is, to the best of our knowledge, the first such metric: the nonlinearity coefficient (NLC). Via an extensive empirical study, we show that the NLC, computed in the network's randomly initialized state, is a powerful predictor of test error and that attaining a right-sized NLC is essential for attaining an optimal test error, at least in fully-connected feedforward networks. The NLC is also conceptually simple, cheap to compute, and is robust to a range of confounders and architectural design choices that comparable metrics are not necessarily robust to. Hence, we argue the NLC is an important tool for architecture search and design, as it can robustly predict poor training outcomes before training even begins.","['capsule', 'capsule network', 'semantic segmentation', 'FCN']","['deep learning', 'neural networks', 'nonlinearity', 'activation functions', 'exploding gradients', 'vanishing gradients', 'neural architecture search']",capsule ; capsule network ; semantic segmentation ; fcn,deep learning ; neural networks ; nonlinearity ; activation functions ; exploding gradients ; vanishing gradients ; neural architecture search,4,7,10,9,127,199,4,12,https://openreview.net/forum?id=H1xpe2C5Km,https://openreview.net/forum?id=BkeK-nRcFX,3,3,5.666666666666667,5.333333333333333,0.5773502691896258,1.5275252316519463,1.0,1.0,3.6666666666666665,3.6666666666666665,1.0,1.0,0.9247,0.1896666666666666,0.430207503173057,0.3272224706312751,0.0,0.0,1.7663532188598952,1.2847054780576077,374.0,441.3333333333333,0,0,3.6666666666666665,3.6666666666666665,0.538,0.441,2019_4,2019_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.6533539763388047,-1.3973419620893008,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.5106019219845207,0.5231800662996519,0.0424140451943425,0.09278677770232285,0.050372732507980356,2019
H1gL-2A9Ym,ryewE3R5YX,2019,2019,1,0,Accept (Poster),Reject,1,1,Predict then Propagate: Graph Neural Networks meet Personalized PageRank,Characterizing Attacks on Deep Reinforcement Learning,"Neural message passing algorithms for semi-supervised classification on graphs have recently achieved great success. However, for classifying a node these methods only consider nodes that are a few propagation steps away and the size of this utilized neighborhood is hard to extend. In this paper, we use the relationship between graph convolutional networks (GCN) and PageRank to derive an improved propagation scheme based on personalized PageRank. We utilize this propagation procedure to construct a simple model, personalized propagation of neural predictions (PPNP), and its fast approximation, APPNP. Our model's training time is on par or faster and its number of parameters on par or lower than previous models. It leverages a large, adjustable neighborhood for classification and can be easily combined with any neural network. We show that this model outperforms several recently proposed methods for semi-supervised classification in the most thorough study done so far for GCN-like models. Our implementation is available online.","Deep Reinforcement learning (DRL) has achieved great success in various applications, such as playing computer games and controlling robotic manipulation. However, recent studies show that machine learning models are vulnerable to adversarial examples, which are carefully crafted instances that aim to mislead learning models to make arbitrarily incorrect prediction, and raised severe security concerns. DRL has been attacked by adding perturbation to each observed frame. However, such observation based attacks are not quite realistic considering that it would be hard for adversaries to directly manipulate pixel values in practice. Therefore, we propose to understand the vulnerabilities of DRL from various perspectives and provide a throughout taxonomy of adversarial perturbation against DRL, and we conduct the first experiments on unexplored parts of this taxonomy. In addition to current observation based attacks against DRL, we propose attacks based on the actions and environment dynamics. Among these experiments, we introduce a novel sequence-based attack to attack a sequence of frames for real-time scenarios such as autonomous driving, and the first targeted attack that perturbs environment dynamics to let the agent fail in a specific way. We show empirically that our sequence-based attack can generate effective perturbations in a blackbox setting in real time with a small number of queries, independent of episode length. We conduct extensive experiments to compare the effectiveness of different attacks with several baseline attack methods in several game playing, robotics control, and autonomous driving environments.","['Graph', 'GCN', 'GNN', 'Neural network', 'Graph neural network', 'Message passing neural network', 'Semi-supervised classification', 'Semi-supervised learning', 'PageRank', 'Personalized PageRank']",,graph ; gcn ; gnn ; neural network ; graph neural network ; message passing neural network ; semi supervised classification ; semi supervised learning ; pagerank ; personalized pagerank,missingkeyword,10,0,9,6,157,239,9,3,https://openreview.net/forum?id=H1gL-2A9Ym,https://openreview.net/forum?id=ryewE3R5YX,3,3,5.666666666666667,5.333333333333333,1.1547005383792517,0.5773502691896258,1.0,1.0,4.0,3.6666666666666665,1.0,1.0,0.8601000000000001,-0.9881333333333332,0.9049589803363548,0.2207413246071839,0.0,0.0,1.53823229482897,1.4455012888620955,327.0,461.6666666666667,0,0,4.0,3.6666666666666665,0.538,0.441,2019_9,2019_3,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.47312411244720515,-4.683328551741409,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.5148276327005408,0.5247908636441103,0.05932792656307425,0.09924483406184521,0.039916907498770964,2019
BJgbzhC5Ym,Bkg93jC5YX,2019,2019,0,0,Reject,Reject,1,1,NECST: Neural Joint Source-Channel Coding,BLISS in Non-Isometric Embedding Spaces,"For reliable transmission across a noisy communication channel, classical results from information theory show that it is asymptotically optimal to separate out the source and channel coding processes. However, this decomposition can fall short in the finite bit-length regime, as it requires non-trivial tuning of hand-crafted codes and assumes infinite computational power for decoding. In this work, we propose Neural Error Correcting and Source Trimming (NECST) codes to jointly learn the encoding and decoding processes in an end-to-end fashion. By adding noise into the latent codes to simulate the channel during training, we learn to both compress and error-correct given a fixed bit-length and computational budget. We obtain codes that are not only competitive against several capacity-approaching channel codes, but also learn useful robust representations of the data for downstream tasks such as classification. Finally, we learn an extremely fast neural decoder, yielding almost an order of magnitude in speedup compared to standard decoding methods based on iterative belief propagation.","Recent work on bilingual lexicon induction (BLI) has frequently depended either on aligned bilingual lexicons or on distribution matching, often with an assumption about the isometry of the two spaces. We propose a technique to quantitatively estimate this assumption of the isometry between two embedding spaces and empirically show that this assumption weakens as the languages in question become increasingly etymologically distant. We then propose Bilingual Lexicon Induction with Semi-Supervision (BLISS) --- a novel semi-supervised approach that relaxes the isometric assumption while leveraging both limited aligned bilingual lexicons and a larger set of unaligned word embeddings, as well as a novel hubness filtering technique. Our proposed method improves over strong baselines for 11 of 14 on the MUSE dataset, particularly for languages whose embedding spaces do not appear to be isometric. In addition, we also show that adding supervision stabilizes the learning procedure, and is effective even with minimal supervision.","['joint source-channel coding', 'deep generative models', 'unsupervised learning']","['bilingual lexicon induction', 'semi-supervised methods', 'embeddings']",joint source channel coding ; deep generative models ; unsupervised learning,bilingual lexicon induction ; semi supervised methods ; embeddings,3,3,6,6,168,149,5,4,https://openreview.net/forum?id=BJgbzhC5Ym,https://openreview.net/forum?id=Bkg93jC5YX,3,3,5.666666666666667,5.333333333333333,1.5275252316519463,1.1547005383792517,1.0,1.0,4.0,4.666666666666667,1.0,1.0,0.9904,0.3932,0.4977759820068326,0.1941447045110755,0.0,0.0,1.6227081669903989,1.4014562730123927,538.0,424.6666666666667,0,0,4.0,4.666666666666667,0.538,0.441,2019_5,2019_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.836652769801314,-0.8294969936052403,0.45759346886108676,0.45759346886108676,1,0,40-60,40-60,0.5188227918130094,0.5292808318276425,0.07532676482165444,0.11725749374261743,0.04193072892096299,2019
