forum,year,accept,decision_raw,decision_parse_success,title,abstract,keywords_raw,keyword_document,keyword_count,title_length,abstract_length,topic_cluster,link,num_reviews,mean_score,score_std,rating_parse_success_share,confidence_mean,confidence_parse_success_share,mean_sentiment,mean_politeness,mean_toxicity,mean_constructiveness,review_length_mean,confidence_missing,confidence_mean_imputed,mean_score_percentile,year_topic_cluster,parse_status,mean_sentiment_z,within_year_sentiment_median,high_sentiment,borderline_window,propensity_score,propensity_logit
B1NOXfWR-,2018,0,Reject,1,Neural Task Graph Execution,"In order to develop a scalable multi-task reinforcement learning (RL) agent that is able to execute many complex tasks, this paper introduces a new RL problem where the agent is required to execute a given task graph which describes a set of subtasks and dependencies among them. Unlike existing approaches which explicitly describe what the agent should do, our problem only describes properties of subtasks and relationships between them, which requires the agent to perform a complex reasoning to find the optimal subtask to execute. To solve this problem, we propose a neural task graph solver (NTS) which encodes the task graph using a recursive neural network. To overcome the difficulty of training, we propose a novel non-parametric gradient-based policy that performs back-propagation over a differentiable form of the task graph to compute the influence of each subtask on the other subtasks. Our NTS is pre-trained to approximate the proposed gradient-based policy and fine-tuned through actor-critic method. The experimental results on a 2D visual domain show that our method to pre-train from the gradient-based policy significantly improves the performance of NTS. We also demonstrate that our agent can perform a complex reasoning to find the optimal way of executing the task graph and generalize well to unseen task graphs. In addition, we compare our agent with a Monte-Carlo Tree Search (MCTS) method showing that our method is much more efficient than MCTS, and the performance of our agent can be further improved by combining with MCTS. The demo video is available at https://youtu.be/e_ZXVS5VutM.","['deep reinforcement learning', 'task execution', 'instruction execution']",deep reinforcement learning ; task execution ; instruction execution,3,4,269,1,https://openreview.net/forum?id=B1NOXfWR-,3,5.333333333333333,1.1547005383792517,1.0,3.6666666666666665,1.0,0.8700333333333333,0.6859410430839002,0.0,1.2312925170068028,458.3333333333333,0,3.6666666666666665,0.4642082429501085,2018_1,decision=1;rating_share=1.0;confidence_share=1.0,0.5237059024093593,0.49489330902739526,1,30-70,0.7086000374616547,0.8885944800949102
B1QgVti6Z,2018,1,Accept (Poster),1,Empirical Risk Landscape Analysis for Understanding Deep Neural Networks,"This work aims to provide comprehensive landscape analysis of empirical risk in deep neural networks (DNNs), including the convergence behavior of its gradient, its stationary points and the empirical risk itself to their corresponding population counterparts, which reveals how various network parameters determine the convergence performance. In particular, for an $l$-layer linear neural network consisting of $\\dm_i$ neurons in the $i$-th layer, we prove the gradient of its empirical risk uniformly converges to the one of its population risk, at the rate of $\\mathcal{O}(r^{2l} \\sqrt{l\\sqrt{\\max_i \\dm_i} s\\log(d/l)/n})$. Here $d$ is the total weight dimension, $s$ is the number of nonzero entries of all the weights and the magnitude of weights per layer is upper bounded by $r$. Moreover, we prove the one-to-one correspondence of the non-degenerate stationary points between the empirical and population risks and provide convergence guarantee for each pair. We also establish the uniform convergence of the empirical risk to its population counterpart and further derive the stability and generalization bounds for the empirical risk. In addition, we analyze these properties for deep \\emph{nonlinear} neural networks with sigmoid activation functions. We prove similar results for convergence behavior of their empirical risk gradients, non-degenerate stationary points as well as the empirical risk itself. To our best knowledge, this work is the first one theoretically characterizing the uniform convergence of the gradient and stationary points of the empirical risk of DNN models, which benefits the theoretical understanding on how the neural network depth $l$, the layer width $\\dm_i$, the network size $d$, the sparsity in weight and the parameter magnitude $r$ determine the neural network landscape.","['Deep Learning Analysis', 'Deep Learning Theory', 'Empirical Risk', 'Landscape Analysis', 'Nonconvex Optimization']",deep learning analysis ; deep learning theory ; empirical risk ; landscape analysis ; nonconvex optimization,5,9,287,7,https://openreview.net/forum?id=B1QgVti6Z,3,5.666666666666667,2.309401076758503,1.0,3.0,1.0,0.1143,0.0754147812971342,0.0,1.7641534317499687,248.66666666666663,0,3.0,0.5667028199566161,2018_7,decision=1;rating_share=1.0;confidence_share=1.0,-1.480095070461482,0.49489330902739526,0,30-70,0.33847321715759826,-0.6701055036934681
B1X0mzZCW,2018,1,Accept (Poster),1,Fidelity-Weighted Learning,"Training deep neural networks requires many training samples, but in practice training labels are expensive to obtain and may be of varying quality, as some may be from trusted expert labelers while others might be from heuristics or other sources of weak supervision such as crowd-sourcing. This creates a fundamental quality- versus-quantity trade-off in the learning process. Do we learn from the small amount of high-quality data or the potentially large amount of weakly-labeled data? We argue that if the learner could somehow know and take the label-quality into account when learning the data representation, we could get the best of both worlds. To this end, we propose “fidelity-weighted learning” (FWL), a semi-supervised student- teacher approach for training deep neural networks using weakly-labeled data. FWL modulates the parameter updates to a student network (trained on the task we care about) on a per-sample basis according to the posterior confidence of its label-quality estimated by a teacher (who has access to the high-quality labels). Both student and teacher are learned from the data. We evaluate FWL on two tasks in information retrieval and natural language processing where we outperform state-of-the-art alternative semi-supervised methods, indicating that our approach makes better use of strong and weak labels, and leads to better task-dependent data representations.","['fidelity-weighted learning', 'semisupervised learning', 'weakly-labeled data', 'teacher-student']",fidelity weighted learning ; semisupervised learning ; weakly labeled data ; teacher student,4,3,228,4,https://openreview.net/forum?id=B1X0mzZCW,3,6.0,1.0,1.0,3.6666666666666665,1.0,0.3167333333333333,-0.3222703222703222,0.0,1.3852813852813852,331.3333333333333,0,3.6666666666666665,0.6637744034707158,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,-0.9433500409870369,0.49489330902739526,0,30-70,0.5023616744396304,0.009446768011482013
B1Z3W-b0W,2018,0,Invite to Workshop Track,1,Learning to Infer,"Inference models, which replace an optimization-based inference procedure with a learned model, have been fundamental in advancing Bayesian deep learning, the most notable example being variational auto-encoders (VAEs). In this paper, we propose iterative inference models, which learn how to optimize a variational lower bound through repeatedly encoding gradients. Our approach generalizes VAEs under certain conditions, and by viewing VAEs in the context of iterative inference, we provide further insight into several recent empirical findings. We demonstrate the inference optimization capabilities of iterative inference models, explore unique aspects of these models, and show that they outperform standard inference models on typical benchmark data sets.","['Bayesian Deep Learning', 'Amortized Inference', 'Variational Auto-Encoders', 'Learning to Learn']",bayesian deep learning ; amortized inference ; variational auto encoders ; learning to learn,4,3,106,6,https://openreview.net/forum?id=B1Z3W-b0W,3,5.333333333333333,0.5773502691896257,1.0,4.333333333333333,1.0,0.9556,0.2687113492740091,0.0,1.5750664194824466,477.3333333333333,0,4.333333333333333,0.4642082429501085,2018_6,decision=1;rating_share=1.0;confidence_share=1.0,0.750582979745256,0.49489330902739526,1,30-70,0.5473582048233618,0.19000236796430428
B1ZZTfZAW,2018,0,Reject,1,Real-valued (Medical) Time Series Generation with Recurrent Conditional GANs,"Generative Adversarial Networks (GANs) have shown remarkable success as a framework for training models to produce realistic-looking data. In this work, we propose a Recurrent GAN (RGAN) and Recurrent Conditional GAN (RCGAN) to produce realistic real-valued multi-dimensional time series, with an emphasis on their application to medical data. RGANs make use of recurrent neural networks (RNNs) in the generator and the discriminator. In the case of RCGANs, both of these RNNs are conditioned on auxiliary information. We demonstrate our models in a set of toy datasets, where we show visually and quantitatively (using sample likelihood and maximum mean discrepancy) that they can successfully generate realistic time-series. We also describe novel evaluation methods for GANs, where we generate a synthetic labelled training dataset, and evaluate on a real test set the performance of a model trained on the synthetic data, and vice-versa. We illustrate with these metrics that RCGANs can generate time-series data useful for supervised training, with only minor degradation in performance on real test data. This is demonstrated on digit classification from ‘serialised’ MNIST and by training an early warning system on a medical dataset of 17,000 patients from an intensive care unit. We further discuss and analyse the privacy concerns that may arise when using RCGANs to generate realistic synthetic medical time series data, and demonstrate results from differentially private training of the RCGAN.","['GAN', 'medical', 'records', 'time', 'series', 'generation', 'privacy']",gan ; medical ; records ; time ; series ; generation ; privacy,7,10,231,4,https://openreview.net/forum?id=B1ZZTfZAW,3,5.0,1.0,1.0,4.0,1.0,0.7051999999999999,0.5991461270763822,0.0,1.7083515518600507,447.0,0,4.0,0.36388286334056397,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,0.08665598132404204,0.49489330902739526,0,30-70,0.5027892925526055,0.011157285951904173
B1hYRMbCW,2018,1,Accept (Poster),1,On the regularization of Wasserstein GANs,"Since their invention, generative adversarial networks (GANs) have become a popular approach for learning to model a distribution of real (unlabeled) data. Convergence problems during training are overcome by Wasserstein GANs which minimize the distance between the model and the empirical distribution in terms of a different metric, but thereby introduce a Lipschitz constraint into the optimization problem. A simple way to enforce the Lipschitz constraint on the class of functions, which can be modeled by the neural network, is weight clipping. Augmenting the loss by a regularization term that penalizes the deviation of the gradient norm of the critic (as a function of the network's input) from one, was proposed as an alternative that improves training. We present theoretical arguments why using a weaker regularization term enforcing the Lipschitz constraint is preferable. These arguments are supported by experimental results on several data sets.",,missingkeyword,0,6,144,3,https://openreview.net/forum?id=B1hYRMbCW,3,5.0,2.6457513110645907,1.0,3.6666666666666665,1.0,0.9067333333333334,0.7339542723182545,0.0,1.4316581279168468,508.0,0,3.6666666666666665,0.36388286334056397,2018_3,decision=1;rating_share=1.0;confidence_share=1.0,0.6210146917147051,0.49489330902739526,1,30-70,0.5439475894259793,0.1762451608685565
B1hcZZ-AW,2018,1,Accept (Poster),1,N2N learning: Network to Network Compression via Policy Gradient Reinforcement Learning,"While bigger and deeper neural network architectures continue to advance the state-of-the-art for many computer vision tasks, real-world adoption of these networks is impeded by hardware and speed constraints. Conventional model compression methods attempt to address this problem by modifying the architecture manually or using pre-defined heuristics. Since the space of all reduced architectures is very large, modifying the architecture of a deep neural network in this way is a difficult task. In this paper, we tackle this issue by introducing a principled method for learning reduced network architectures in a data-driven way using reinforcement learning. Our approach takes a larger 'teacher' network as input and outputs a compressed 'student' network derived from the 'teacher' network. In the first stage of our method, a recurrent policy network aggressively removes layers from the large 'teacher' model. In the second stage, another recurrent policy network carefully reduces the size of each remaining layer. The resulting network is then evaluated to obtain a reward -- a score based on the accuracy and compression of the network. Our approach uses this reward signal with policy gradients to train the policies to find a locally optimal student network. Our experiments show that we can achieve compression rates of more than 10x for models such as ResNet-34 while maintaining similar performance to the input 'teacher' network. We also present a valuable transfer learning result which shows that policies which are pre-trained on smaller 'teacher' networks can be used to rapidly speed up training on larger 'teacher' networks.","['Deep learning', 'Neural networks', 'Model compression']",deep learning ; neural networks ; model compression,3,12,257,12,https://openreview.net/forum?id=B1hcZZ-AW,3,6.0,2.6457513110645907,1.0,4.0,1.0,0.7057000000000001,1.1461794019933556,0.0,0.8594038390550018,258.3333333333333,0,4.0,0.6637744034707158,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,0.08798171414836599,0.49489330902739526,0,30-70,0.3336667003683984,-0.6916474036031058
B1i7ezW0-,2018,0,Reject,1,Semi-Supervised Learning via New Deep Network Inversion,"We exploit a recently derived inversion scheme for arbitrary deep neural networks to develop a new semi-supervised learning framework that applies to a wide range of systems and problems. The approach reaches current state-of-the-art methods on MNIST and provides reasonable performances on SVHN and CIFAR10. Through the introduced method, residual networks are for the first time applied to semi-supervised tasks. Experiments with one-dimensional signals highlight the generality of the method. Importantly, our approach is simple, efficient, and requires no change in the deep network architecture.","['inversion scheme', 'deep neural networks', 'semi-supervised learning', 'MNIST', 'SVHN', 'CIFAR10']",inversion scheme ; deep neural networks ; semi supervised learning ; mnist ; svhn ; cifar,6,8,91,12,https://openreview.net/forum?id=B1i7ezW0-,3,5.333333333333333,1.5275252316519468,1.0,3.6666666666666665,1.0,0.8846666666666666,0.4946786974376771,0.0,0.6807796865058707,335.0,0,3.6666666666666665,0.4642082429501085,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,0.5625056830678938,0.49489330902739526,1,30-70,0.4550160790203479,-0.18042353460557978
B1kIr-WRb,2018,0,Reject,1,LEARNING SEMANTIC WORD RESPRESENTATIONS VIA TENSOR FACTORIZATION,"Many state-of-the-art word embedding techniques involve factorization of a cooccurrence based matrix. We aim to extend this approach by studying word embedding techniques that involve factorization of co-occurrence based tensors (N- way arrays). We present two new word embedding techniques based on tensor factorization and show that they outperform common methods on several semantic NLP tasks when given the same data. To train one of the embeddings, we present a new joint tensor factorization problem and an approach for solving it. Furthermore, we modify the performance metrics for the Outlier Detection Camacho- Collados & Navigli (2016) task to measure the quality of higher-order relationships that a word embedding captures. Our tensor-based methods significantly outperform existing methods at this task when using our new metric. Finally, we demonstrate that vectors in our embeddings can be composed multiplicatively to create different vector representations for each meaning of a polysemous word. We show that this property stems from the higher order information that the vectors contain, and thus is unique to our tensor based embeddings.","['Word Embeddings', 'Tensor Factorization', 'Natural Language Processing']",word embeddings ; tensor factorization ; natural language processing,3,7,176,10,https://openreview.net/forum?id=B1kIr-WRb,3,5.0,0.0,1.0,4.333333333333333,1.0,0.9829333333333332,0.6699414715719062,0.0,1.002299331103679,590.6666666666666,0,4.333333333333333,0.36388286334056397,2018_10,decision=1;rating_share=1.0;confidence_share=1.0,0.8230563741416076,0.49489330902739526,1,30-70,0.764143070933803,1.1755296488327922
B1mAkPxCZ,2018,0,Reject,1,VOCABULARY-INFORMED VISUAL FEATURE AUGMENTATION FOR ONE-SHOT LEARNING,"A natural solution for one-shot learning is to augment training data to handle the data deficiency problem. However, directly augmenting in the image domain may not necessarily generate training data that sufficiently explore the intra-class space for one-shot classification. Inspired by the recent vocabulary-informed learning, we propose to generate synthetic training data with the guide of the semantic word space. Essentially, we train an auto-encoder as a bridge to enable the transformation between the image feature space and the semantic space. Besides directly augmenting image features, we transform the image features to semantic space using the encoder and perform the data augmentation. The decoder then synthesizes the image features for the augmented instances from the semantic space. Experiments on three datasets show that our data augmentation method effectively improves the performance of one-shot classification. An extensive study shows that data augmented from semantic space are complementary with those from the image space, and thus boost the classification accuracy dramatically. Source code and dataset will be available.","['vocabulary-informed learning', 'data augmentation']",vocabulary informed learning ; data augmentation,2,9,172,4,https://openreview.net/forum?id=B1mAkPxCZ,3,5.0,1.0,1.0,3.6666666666666665,1.0,0.3058333333333333,0.3880705649368179,0.0,0.7511787711822793,532.3333333333334,0,3.6666666666666665,0.36388286334056397,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,-0.9722510165572894,0.49489330902739526,0,30-70,0.5645537838534364,0.2596643664515009
B1mSWUxR-,2018,0,Reject,1,Softmax Q-Distribution Estimation for Structured Prediction: A Theoretical Interpretation for RAML,"Reward augmented maximum likelihood (RAML), a simple and effective learning framework to directly optimize towards the reward function in structured prediction tasks, has led to a number of impressive empirical successes. RAML incorporates task-specific reward by performing maximum-likelihood updates on candidate outputs sampled according to an exponentiated payoff distribution, which gives higher probabilities to candidates that are close to the reference output. While RAML is notable for its simplicity, efficiency, and its impressive empirical successes, the theoretical properties of RAML, especially the behavior of the exponentiated payoff distribution, has not been examined thoroughly. In this work, we introduce softmax Q-distribution estimation, a novel theoretical interpretation of RAML, which reveals the relation between RAML and Bayesian decision theory. The softmax Q-distribution can be regarded as a smooth approximation of the Bayes decision boundary, and the Bayes decision rule is achieved by decoding with this Q-distribution. We further show that RAML is equivalent to approximately estimating the softmax Q-distribution, with the temperature $\\tau$ controlling approximation error. We perform two experiments, one on synthetic data of multi-class classification and one on real data of image captioning, to demonstrate the relationship between RAML and the proposed softmax Q-distribution estimation, verifying our theoretical analysis. Additional experiments on three structured prediction tasks with rewards defined on sequential (named entity recognition), tree-based (dependency parsing) and irregular (machine translation) structures show notable improvements over maximum likelihood baselines.","['structured prediction', 'RAML', 'theory', 'Bayes decision rule', 'reward function']",structured prediction ; raml ; theory ; bayes decision rule ; reward function,5,12,238,4,https://openreview.net/forum?id=B1mSWUxR-,3,5.333333333333333,0.5773502691896258,1.0,3.0,1.0,0.9174666666666668,0.5899705014749262,0.0,1.4460854437768635,302.0,0,3.0,0.4642082429501085,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,0.6494737563435166,0.49489330902739526,1,30-70,0.3700907678838669,-0.5318274388418683
